,Date,Receipt_Count
227,2021-08-16,9215173
228,2021-08-17,9056307
229,2021-08-18,8968187
230,2021-08-19,9357610
231,2021-08-20,8971426
232,2021-08-21,9238276
233,2021-08-22,9372279
234,2021-08-23,9589375
235,2021-08-24,8961875
236,2021-08-25,9160096
237,2021-08-26,9052229
238,2021-08-27,8778271
239,2021-08-28,9245534
240,2021-08-29,9384023
241,2021-08-30,9474742
242,2021-08-31,9189054
243,2021-09-01,9167277
244,2021-09-02,9123056
245,2021-09-03,9251321
246,2021-09-04,9377700
247,2021-09-05,9782022
248,2021-09-06,8930331
249,2021-09-07,9718666
250,2021-09-08,9262001
251,2021-09-09,9095889
252,2021-09-10,9364629
253,2021-09-11,9508131
254,2021-09-12,9264013
255,2021-09-13,9461281
256,2021-09-14,9032235
257,2021-09-15,9574777
258,2021-09-16,9189740
259,2021-09-17,9508023
260,2021-09-18,9580631
261,2021-09-19,9697272
262,2021-09-20,9292315
263,2021-09-21,9090518
264,2021-09-22,9294810
265,2021-09-23,9400956
266,2021-09-24,9871832
267,2021-09-25,9569204
268,2021-09-26,9583588
269,2021-09-27,9412385
270,2021-09-28,9221235
271,2021-09-29,9328174
272,2021-09-30,9192142
273,2021-10-01,9432155
274,2021-10-02,9755500
275,2021-10-03,9562636
276,2021-10-04,9497084
277,2021-10-05,9656472
278,2021-10-06,9461320
279,2021-10-07,9363588
280,2021-10-08,9834844
281,2021-10-09,9113802
282,2021-10-10,9290592
283,2021-10-11,9282316
284,2021-10-12,9725761
285,2021-10-13,9449353
286,2021-10-14,9492895
287,2021-10-15,9599402
288,2021-10-16,9664876
289,2021-10-17,9702569
290,2021-10-18,9574962
291,2021-10-19,9540428
292,2021-10-20,9617606
293,2021-10-21,9509561
294,2021-10-22,9417190
295,2021-10-23,9748484
296,2021-10-24,9476970
297,2021-10-25,9373507
298,2021-10-26,9646801
299,2021-10-27,9635634
300,2021-10-28,9530612
301,2021-10-29,9627467
302,2021-10-30,9879362
303,2021-10-31,9501436
304,2021-11-01,9631220
305,2021-11-02,10004975
306,2021-11-03,9749567
307,2021-11-04,9925777
308,2021-11-05,9863408
309,2021-11-06,9933505
310,2021-11-07,9383028
311,2021-11-08,9607159
312,2021-11-09,9707735
313,2021-11-10,9691895
314,2021-11-11,9854091
315,2021-11-12,9695957
316,2021-11-13,10047149
317,2021-11-14,9845653
318,2021-11-15,9656831
319,2021-11-16,10285056
320,2021-11-17,9606579
321,2021-11-18,9928425
322,2021-11-19,9980182
323,2021-11-20,9915679
324,2021-11-21,9837099
325,2021-11-22,9608834
326,2021-11-23,9893666
327,2021-11-24,9897017
328,2021-11-25,10129048
329,2021-11-26,9828852
330,2021-11-27,10014982
331,2021-11-28,10057900
332,2021-11-29,10204676
333,2021-11-30,10299217
334,2021-12-01,9731627
335,2021-12-02,9674146
336,2021-12-03,9679469
337,2021-12-04,10060861
338,2021-12-05,9771507
339,2021-12-06,9726983
340,2021-12-07,10152789
341,2021-12-08,9961637
342,2021-12-09,9888931
343,2021-12-10,10016144
344,2021-12-11,10025271
345,2021-12-12,10013123
346,2021-12-13,10144930
347,2021-12-14,10246870
348,2021-12-15,9838107
349,2021-12-16,9845904
350,2021-12-17,10220516
351,2021-12-18,9835059
352,2021-12-19,9572522
353,2021-12-20,10379305
354,2021-12-21,9680446
355,2021-12-22,10124238
356,2021-12-23,9464659
357,2021-12-24,9703857
358,2021-12-25,10045897
359,2021-12-26,10738865
360,2021-12-27,10350408
361,2021-12-28,10219445
362,2021-12-29,10313337
363,2021-12-30,10310644
364,2021-12-31,10211187
